,x,z,v,alpha,d22,T
820,0.2210801523240732,0.007980018868015385,2.4608906206082892,2.294205515469741,3.625683290471266e-15,3.2784512726882262
821,0.22158003906156323,0.008012454264035998,2.4570738471432785,2.293523479823505,3.663874960022063e-15,3.2786483995731994
822,0.22208054638729785,0.008045024408949972,2.453262614807312,2.292841309820112,3.6303866523453884e-15,3.2788450222666485
823,0.22258167503333284,0.008077730164145442,2.449456901993727,2.292158986484431,3.637659826144024e-15,3.2790410471612677
824,0.2230834255587133,0.008110571910308437,2.4456566885705153,2.291485425936377,3.1556270470658004e-15,3.2792365717467673
825,0.22358588376344307,0.008143797713152247,2.441861278877437,2.2894386968797766,3.8789673201511086e-10,3.279334046384667
826,0.22407528713529098,0.00814273089598934,2.4381779949836564,2.291457524118736,1.4382739377614854e-06,3.2929566886532573
827,0.22459241536575622,0.008209921184181762,2.43428883404244,2.289418812576843,4.2132905747220884e-15,3.2798194698968746
828,0.2250965706504666,0.008243048745821758,2.4305111148944474,2.289159889456832,4.69505051995786e-10,3.28011652087424
829,0.22560534823973347,0.008288339821062182,2.4267073201340064,2.286574638338064,1.0083531408253455e-06,3.2757538171631517
830,0.2260962549695864,0.008282954767586073,2.423052974680739,2.286574638338064,1.2566793354897363e-06,3.2910823358567627
831,0.22659421155836632,0.008297290287356865,2.4193529808432417,2.2892652572629935,1.5955842304400643e-06,3.298832633922847
832,0.22712634598023992,0.00839759045186165,2.4154001125060955,2.2853277572034347,2.7774309290741367e-06,3.273421881042647
833,0.22762727723900306,0.008412382758562107,2.4116988099946983,2.2853277572034347,3.672409995682206e-15,3.2809699675872706
834,0.2281352845103007,0.008446622005249843,2.4079524490247395,2.2846438057006515,3.67235487505478e-15,3.2811596651947594
835,0.22864392125463695,0.008481004644177396,2.4042113613558374,2.2839596996639915,3.675382224697249e-15,3.2813487719885255
836,0.22915318817669067,0.008515531347595091,2.4004755269231524,2.2832758208119355,3.656439532972049e-15,3.281537287949077
837,0.2296630895877882,0.00855021353239166,2.396744897977748,2.2825906410078094,7.268525602520906e-13,3.2817211264767434
838,0.23017361543039255,0.00858501973577772,2.3930195375644665,2.28190528672815,3.742838829570563e-15,3.281912517808472
839,0.23068476577690358,0.00861995281192683,2.389299429276417,2.281907927226856,2.3540330278568394e-12,3.2821103854230094
