x,z,v,alpha,d22,T
0.9936384048320606,0.047325861122156414,0.6664470444735665,4.225228642288812,1.7179709035754634e-10,0.7734311970903485
0.9935177981956704,0.04709536206596697,0.668434438212209,4.2303220333457485,2.5143166304333676e-11,0.771927003391183
0.993398365409428,0.046864252600094164,0.6704369100579747,4.235406978627304,5.761662956914105e-11,0.770417957554807
0.9932801073816141,0.04663253981558899,0.6724546794900356,4.240483630473379,1.5410652133222283e-09,0.7689040737932483
0.9931630252026861,0.046400230670217965,0.6744879710242371,4.245552601658948,1.3122910924536763e-09,0.7673853647899092
0.9930471207756442,0.046167331680444006,0.6765370159687346,4.250615412821586,2.972037018294565e-10,0.7658618314379411
0.9929323945518023,0.04593385005545272,0.6786020463243199,4.255667544949578,1.7946955424041928e-09,0.7643334909256254
0.9928188475003137,0.045699792706190144,0.6806833003038203,4.260711701267966,1.2685675388631983e-09,0.7628003532956719
0.9927064803631238,0.04546516661615466,0.6827810204312829,4.265747103121903,8.535449961875308e-11,0.761262430748313
0.9925952940786681,0.0452299786364565,0.6848954546826699,4.270773589729188,7.827557943097443e-10,0.7597197291997537
0.9924852889129095,0.04499423589711539,0.6870268545336898,4.275790079744856,5.543837461023305e-10,0.7581722664733843
0.9923764654672463,0.04475794532743563,0.6891754775109118,4.280797401312619,3.8071726983307175e-09,0.7566200519576916
0.9922688243351075,0.04452111382125985,0.6913415863448051,4.28579531259692,2.4607844348907297e-09,0.7550630894788297
0.9921623658165983,0.04428374836572261,0.6935254485920371,4.290782366694113,1.340131633041219e-09,0.7535013876513723
0.9920570894129148,0.04404585625893242,0.6957273360506397,4.295757778618582,4.146772554452475e-09,0.7519349829091907
0.991952996148783,0.043807444078018835,0.6979475285613991,4.300724828952959,4.208262837737115e-09,0.7503638437911672
0.9918500851251777,0.043568519200984,0.7001863090845267,4.305678445877337,5.635800676847095e-10,0.7487880214766383
0.9917483565276115,0.04332908848431879,0.7024439679634537,4.310622147294867,9.132864798664684e-09,0.747207511296691
0.9913911828070546,0.04246123009995748,0.7107501792332839,1.1909216350924454,8.300235065594405e-07,0.7414666415525238
0.9913429513071663,0.04234042999097606,0.7119220795740847,1.217992789137583,1.105881574316855e-06,0.7406661416097737
0.9911998705080644,0.04197745603045522,0.7154675339530865,1.200418699665788,1.0635663212050751e-06,0.7382583782238392
0.9911527884134779,0.041856203317987506,0.7166600379159643,1.201450077115077,1.6994046093401835e-06,0.7374531330656298
0.9911058314002159,0.04173490211099887,0.7178572620024147,1.206028022240082,8.737289267971957e-07,0.7366458172357181
0.9910594301019858,0.04161338724180999,0.7190607071845948,1.207546829094024,1.321226986267686e-06,0.7358397470374471
0.9910132135099334,0.04149180200203793,0.7202691385525096,1.209484875695722,1.1560306510049832e-06,0.7350313967876656
0.9909672326326818,0.041370127424419686,0.7214827918004095,1.2123309957329702,6.881792065445882e-07,0.7342217082861254
0.9909215982416528,0.04124832247268611,0.7227020659487677,1.2146164659056475,7.043229884126281e-07,0.7334110527483778
0.9908762423511526,0.041126413543118516,0.7239267888610991,1.21686544007437,4.78050699549873e-07,0.7325992037337026
0.9908311606594163,0.0410044029493916,0.7251569959642914,1.219536073199432,1.3699337148889679e-07,0.7317862484966181
0.9907864050165078,0.04088227237852884,0.7263928871333163,1.2219522215413199,1.9299511741299284e-08,0.7309720699694511
0.990741944525054,0.04076003405143338,0.7276344226330577,1.2242370381198795,9.682572818441592e-08,0.7301568597094845
0.9906977634398714,0.04063769446003517,0.7288815870093344,1.2265296608124747,1.9384685239871698e-07,0.7293402736002459
0.9906538629723078,0.04051525389135347,0.7301344586347356,1.229210126576441,4.14903701510946e-07,0.7285229741343053
0.9906102909535393,0.040392696055651975,0.7313932240261329,1.2317107001140393,9.199231401551828e-07,0.7277047732840549
0.9905670255279988,0.04027002965086159,0.7326578300668302,1.2333260804537205,2.159257778269433e-06,0.7268848183240286
0.9905239582174712,0.040147293549101334,0.7339280120887741,1.2365517756131823,2.092052901103169e-06,0.7260635345882904
0.9904812871339302,0.04002441913133732,0.7352044545856491,1.2383624100445523,2.847971924648472e-06,0.7252416675295676
0.9904388385117958,0.03990146768404906,0.736486645132934,1.2410171125139864,3.262279217695433e-06,0.7244183992398558
0.9903967164842385,0.03977840396597638,0.7377748063039004,1.2435480127145495,3.968004620445373e-06,0.723590324179593
0.990354906100531,0.039655234019456725,0.7390694292889309,1.2455826654089954,4.64346785043066e-06,0.7227688707371208
0.9903133464072993,0.03953197925967088,0.7403698825970236,1.2481084557811524,5.400206187923081e-06,0.7219422895529575
0.9902720981185906,0.03940861993659397,0.7416764217797821,1.2505022551136207,5.472213623729543e-06,0.7211110594024303
0.9902311452452468,0.03928516222692665,0.7429895236882027,1.2527658166090927,6.537473101731335e-06,0.720286202381315
0.9901904718872188,0.03916161214858546,0.7443085383003177,1.2553158315804835,3.99394476904199e-06,0.7194524273478963
0.9901501138096377,0.039037958723702214,0.7456341551247849,1.2574182522712212,1.2785158007605884e-06,0.7186219929752974
0.9901100156985079,0.03891422075299311,0.7469660531473332,1.259815151617278,3.824160242382448e-08,0.7177900447596065
0.9900702142897347,0.03879038702668608,0.7483043980443671,1.2621498093636703,3.799998458316647e-08,0.71695656363117
0.9900307020985344,0.03866646071528308,0.7496492417338428,1.2644820711347382,3.5400166115340244e-08,0.7161219677677843
0.9899914791304594,0.03854244256061702,0.7510006406308489,1.2668129140902336,3.291340110922912e-08,0.7152862416673191
0.9899525453355148,0.03841833332033812,0.7523586520931661,1.2691314658464852,2.9145319636415968e-08,0.7144493798575904
0.9899138992877128,0.038294134178228814,0.7537233321757769,1.2714526768856211,2.4467702842784096e-08,0.7136114264883703
0.9898755417472174,0.038169845630894296,0.755094741173575,1.2737692419750528,2.1051200262529807e-08,0.7127723560059166
0.9898374722470284,0.03804546855476372,0.7564729357177434,1.2760784525056237,1.3731498277776632e-08,0.711932128012181
0.9897996900019621,0.03792100391774129,0.7578579774980397,1.2783921158265659,4.617642471923586e-09,0.7110908221009132
0.9897621958836923,0.037796452181476516,0.7592499267940828,1.280687875573848,2.3305331761229713e-08,0.7102483567631599
0.9897249877042246,0.037671814726062416,0.7606488424627423,1.2829902918790577,2.9608008353396117e-08,0.7094048096824839
