x,z,v,T
0.914838808628717,0.20861335256966798,0.1492769510821277,0.5800223980782118
0.9146237514856023,0.20846136591957012,0.14981789274339505,0.5803136019366792
0.9144092687394895,0.20831141402300715,0.1503561484100341,0.5806096992877745
0.914195360515167,0.20816344380989632,0.15089174382216078,0.5809105651550647
0.9139820207358339,0.20801741551253045,0.15142470609636233,0.5812161137638745
0.9137692481647864,0.20787328137964173,0.15195506049540922,0.5815262338923753
0.9135570441341238,0.2077309902041868,0.15248283105968916,0.5818408022815589
0.9133454027526627,0.20759050568086335,0.1530080435801998,0.582159740322128
0.9131343213782154,0.20745178652743557,0.15353072247453622,0.5824829530690453
0.9129237991458732,0.20731478936850536,0.15405089120166093,0.5828103379388847
0.9127138319957064,0.20717947788568805,0.15456857380945685,0.5831418131742326
