Xkm,Zkm,v,alpha,d22,T
0.9894572621477985,0.04319458324202199,-0.7341116477135671,1.741662696237538,8.001753505125892e-10,0.6828891187150083
0.9894793793023615,0.04306640455664317,-0.735293093204879,1.7395632216505643,1.8136877950322348e-10,0.6823509594556838
0.989501227293942,0.042938179718272025,-0.7364797874495683,1.7374690549096596,3.0539105002575643e-10,0.6818126979455015
0.9895228066066394,0.04280990938976655,-0.737671771786036,1.7353806128584,1.7719428342947484e-09,0.681274338477992
0.989544118033402,0.04268159428153397,-0.7388690873416179,1.7332985880868323,2.5680773493995636e-10,0.6807358868415135
0.9895651622128471,0.04255323507297107,-0.7400717760165889,1.73122429041783,7.228594193265651e-10,0.680197348169372
0.9895859401984423,0.04242483250591728,-0.7412798793431459,1.7291540582281468,8.956124962737609e-10,0.6796587304781379
0.9896064521832428,0.042296387177505,-0.7424934409541557,1.727092437552884,6.553901640904919e-10,0.6791200353150109
0.9896266994681874,0.04216789985764899,-0.7437125028388185,1.7250361101758365,3.1237727815601926e-11,0.6785812727696221
0.9896466823762659,0.042039371155422126,-0.7449371092978507,1.7229862068128263,7.542369013633893e-10,0.6780424453252611
0.9896664018172713,0.041910801767316555,-0.7461673039868546,1.7209431990579342,5.065056436324142e-10,0.6775035598726724
0.9896858585490488,0.04178219236058466,-0.7474031313287995,1.7189059024753868,1.0889750112022067e-09,0.6769646222020671
0.9897050531682957,0.04165354357316962,-0.748644636533327,1.7168762563004052,7.92768402735819e-11,0.6764256368694753
0.9897239867455296,0.04152485610849443,-0.7498918644491774,1.7148512003397516,9.747538946246627e-10,0.6758866126068245
0.9897426595865875,0.04139613055190901,-0.7511448617440446,1.7128350383768192,3.653601033382143e-10,0.6753475507294069
0.9897610729506869,0.041267367622717654,-0.7524036739703274,1.7108231483936107,5.656795340957663e-10,0.6748084621827531
0.9897792270841616,0.04113856788921952,-0.7536683488748541,1.7088191391063712,1.0770826121826962e-10,0.6742693472324912
0.98979712320221,0.041009732052317664,-0.7549389331444946,1.7068208999749863,5.275344245240137e-10,0.6737302167872246
0.9898147617936661,0.04088086070560769,-0.7562154751421847,1.7048292176694564,1.339813131958839e-09,0.6731910733985516
0.9898321437307931,0.040751954490966566,-0.7574980231629249,1.7028456389284836,9.920043151897107e-10,0.6726519241619073
0.9898492699332224,0.040623014050833316,-0.758786625979117,1.7008664768463737,6.680469939054891e-10,0.6721127768180897
0.9898661408139675,0.040494039955394405,-0.7600813336529385,1.6988956161623339,1.1306628035710328e-09,0.6715736326174954
0.9898827575664325,0.0403650328724535,-0.7613821956631825,1.69693008388301,7.468189694756306e-10,0.6710345029994954
0.9898991206731121,0.04023599337210114,-0.7626892630264922,1.69497301245836,8.638562192771606e-10,0.6704953892861948
0.9899152312553664,0.04010692210089478,-0.7640025865361253,1.6930206124268057,3.1476618872787803e-09,0.6699563030524797
0.9899310897157653,0.03997781961003896,-0.7653222184333386,1.6910756853952138,4.062286969800621e-10,0.6694172440785576
0.9899466970514078,0.0398486865198353,-0.7666482107991427,1.6891377618588963,1.7677674503701135e-09,0.6688782215038153
0.9899620541078484,0.039719523426310584,-0.7679806165119264,1.687205866864817,4.677684958886267e-10,0.6683392422786297
0.9899771616062566,0.03959033090561666,-0.7693194891832142,1.685280177290553,1.904974125694498e-10,0.6678003110648921
0.9899920202921207,0.039461109532129925,-0.7706648829950508,1.6833627471496844,8.43311443982951e-10,0.6672614327606172
0.9900066312704902,0.03933185991618277,-0.7720168524043266,1.6814513694498783,6.653193176256556e-10,0.6667226193247824
0.9900209950848495,0.039202582598959534,-0.7733754530342416,1.679546329955958,1.7937558261077526e-09,0.6661838717014281
0.9900351125949028,0.03907327815270457,-0.7747407408442649,1.6776475505155108,1.4835409396555871e-10,0.6656451970426814
0.9900489845590335,0.03894394713352295,-0.7761127724948923,1.67575723930744,7.779611026934842e-10,0.6651065999418747
0.9900626121153229,0.03881459013285818,-0.777491605072173,1.6738721509749188,8.83636631042115e-10,0.6645680941253109
0.9900759957054872,0.038685207663312626,-0.7788772967696688,1.6719940237937039,1.060790926106258e-09,0.6640296768615693
0.9900891363218065,0.03855580029059315,-0.7802699061001219,1.6701232041630916,1.4417676847543928e-10,0.6634913582871305
0.9901020348981415,0.03842636856867026,-0.7816694923309869,1.668259287515509,5.438485200711882e-10,0.6629531475891554
0.9901146921821323,0.038296913027756105,-0.7830761155029528,1.6664028020638446,1.0542455158283924e-09,0.6624150490463203
0.990127109097868,0.03816743421051167,-0.7844898363034742,1.6645516296131107,1.200129269940644e-09,0.6618770717486724
0.9901392861988045,0.03803793261930841,-0.7859107161575261,1.6627088291271293,1.3063684517572966e-09,0.6613392133343758
0.9901512247396568,0.037908408817813405,-0.7873388172004663,1.660871299613271,8.583624770850968e-10,0.6608014933333999
0.9901629251639301,0.03777886328920192,-0.7887742022381193,1.6590413565329771,3.3286335426709058e-09,0.6602639048009741
0.9901743886005593,0.037649296574602656,-0.7902169349513587,1.6572183945928811,2.209457235771271e-09,0.6597264640677057
0.9901856158550513,0.03751970918066339,-0.7916670796964984,1.6554032586355825,2.370856105440278e-09,0.6591891761141594
0.9901966078850997,0.037390101622292685,-0.7931247017170874,1.6535941683592728,2.9520283916117398e-09,0.6586520521928
0.9902073653344745,0.03726047438289313,-0.794589866783163,1.651791407368446,4.6279250408741425e-09,0.6581150903897215
0.9902178890163242,0.0371308279559014,-0.7960626414998239,1.6499964863884544,5.8642626197080055e-09,0.6575782945850532
0.9902281800858995,0.0370011628572881,-0.7975430937530822,1.6482087590036656,3.831029244005291e-09,0.6570416853941281
0.9902382393333021,0.03687147956826021,-0.7990312917728397,1.646427050324704,5.753730956277545e-09,0.6565052658864928
0.9902480674142138,0.036741778555399875,-0.800527304443701,1.644652532955266,4.805755667639993e-09,0.6559690327225409
0.9902576653230752,0.036612060306657125,-0.8020312019088052,1.6428849070317009,4.113023412556063e-09,0.6554329982876922
0.990267034016539,0.03648232530176568,-0.8035430552330404,1.6411244764577895,3.4759663520955996e-09,0.6548971746197377
0.9902761743061309,0.036352574004979946,-0.8050629360549499,1.6393710510706117,1.8192204868530023e-09,0.654361565337227
0.9902850870855391,0.036222806881737506,-0.8065909169973968,1.6376247471615784,5.639523928346745e-10,0.6538261778970441
0.9902937732447964,0.03609302439236104,-0.8081270716400423,1.6358864885446882,6.759768346352257e-10,0.6532910203180792
0.9903022338027068,0.03596322700074145,-0.8096714750618295,1.6341532269522947,8.884083432650477e-09,0.6527561119255825
0.9903104692560133,0.03583341513217684,-0.8112242008430721,1.6324279697675856,3.7960534143914596e-10,0.6522214253468092
0.9903184808311563,0.03570358925426675,-0.8127853268382096,1.6307111366005116,1.340858945680829e-08,0.6516869975821413
0.9903262695052256,0.035573749813157175,-0.8143549310005258,1.628999251756666,1.3192884198110912e-08,0.6511528470339477
0.9903338358049724,0.03544389722358139,-0.815933089359326,1.627294846849359,7.087317691956963e-09,0.6506189419538931
0.990341180818872,0.035314031929209816,-0.8175198820714424,1.6255984268614596,7.876336479318065e-09,0.6500853070913145
0.9903483055626514,0.035184154364028296,-0.819115390651254,1.623908923828885,1.645407388692252e-08,0.6495519693286604
0.9903552108213979,0.03505426494447057,-0.8207196953658625,1.6222265329467123,4.448998202865796e-09,0.6490189199915826
0.9903618975457,0.034924364091395974,-0.8223328793944686,1.6205508697533413,2.263072531530077e-08,0.6484861788600438
0.9903683665442113,0.034794452213687814,-0.8239550244679656,1.6188815402916836,2.4454765846534148e-08,0.6479537301547345
0.9903746186680885,0.03466452971810516,-0.8255862127491357,1.6172213344844049,3.280792748019944e-08,0.6474215515304353
0.9903806551782249,0.03453459702608051,-0.8272265388893466,1.6155674949160292,3.243300167255321e-08,0.6468897742170752
0.9903864766995176,0.03440465452417587,-0.8288760832159131,1.6139188076768103,7.346628422281676e-08,0.6463583187711832
0.9903920839784539,0.03427470260101068,-0.830534913317724,1.612279943087133,2.701314290185515e-07,0.6458269389097592
0.9903974784134257,0.034144741668485815,-0.8322030180678198,1.6106480341993072,8.404733674644596e-07,0.6452944264202951
0.9904026607361149,0.03401477210496055,-0.8338808959086567,1.609023156369398,1.1973213536346066e-07,0.6447658095810529
0.9904076317511037,0.0338847942879248,-0.8355682009937409,1.6074040128794684,1.762875534366172e-07,0.6442357115308903
0.9904123923069349,0.03375480859248265,-0.837265182086083,1.60579276593164,3.678044571749782e-09,0.6437060613470842
0.9904169434640528,0.033624815396967316,-0.8389719237946393,1.6041897423853386,4.288410429873113e-08,0.6431767590881644
0.990421286297148,0.03349481507499807,-0.840688518182195,1.6025940743724447,4.099028008447685e-08,0.6426477817367772
0.9904254216235546,0.033364807986780126,-0.8424150669360801,1.6010037900449836,3.438444505608391e-08,0.6421192006045678
0.9904293501501593,0.03323479448521157,-0.8441516728116659,1.5994225762220864,1.5563802277297185e-08,0.6415910804643683
0.9904330731856446,0.03310477493699601,-0.8458984254243564,1.5978473936512916,2.6383239905692477e-09,0.6410633279669811
0.9904365913192196,0.03297474968311221,-0.847655432755169,1.5962799649348596,3.5687518141184686e-10,0.6405360355607116
0.9904399057360872,0.032844719076898794,-0.8494227913408648,1.5947199745851108,1.1230653991639024e-08,0.6400091577080307
0.99044301730251,0.03271468345844832,-0.8512006057712938,1.59316817934573,1.8676682777243213e-08,0.6394827202680329
0.990445927076611,0.032584643168053075,-0.8529889787544898,1.59162266238396,8.421699395573438e-10,0.6389567150066076
0.9904486357750029,0.03245459853392916,-0.8547880196349411,1.5900847361130184,1.7306369525128684e-09,0.6384311862749057
0.9904511444712139,0.0323245498878204,-0.85659783390385,1.5885529547971124,1.7824243858415425e-08,0.6379061247006336
0.9904534539584764,0.032194497551509264,-0.8584185324110558,1.5870303914263555,7.553113724787158e-10,0.6373815592527462
0.9904555655230445,0.03206444185110949,-0.8602502211143369,1.5855147582812963,4.938162390832958e-09,0.6368574564060872
0.9904574798757065,0.031934383098365646,-0.8620930151227336,1.5840051011015066,6.245952943408109e-10,0.6363338570958319
0.9904591978489242,0.03180432160337415,-0.8639470293138873,1.5825041612906035,4.681947147889122e-09,0.6358107840015752
0.9904607207318337,0.031674257677787365,-0.8658123748096742,1.5810099062755762,5.6842021506503515e-09,0.6352882091562322
0.9904620492180337,0.03154419162135519,-0.8676891714516844,1.5795234693251876,4.207342480958933e-09,0.6347661718683545
0.9904631844142483,0.03141412373430788,-0.869577535997112,1.5780444901882826,7.634460574459646e-09,0.6342446669047229
0.9904641272415973,0.03128405431058351,-0.8714775889960436,1.576572926021584,7.945105109067774e-09,0.6337237086300398
0.9904648786160899,0.03115398363999335,-0.8733894527838993,1.575109260906188,6.9492594113332e-09,0.6332033119580999
0.9904654396563389,0.03102391200916926,-0.8753132493842336,1.5736521893849365,1.0314694158740964e-08,0.6326834732021968
0.9904658110796005,0.030893839698679437,-0.8772491067382003,1.572202568280454,4.8704396897022676e-09,0.6321642259015025
0.9904659939469742,0.03076376698643385,-0.8791971510700266,1.5707607448960657,5.121812267730528e-09,0.6316455716223336
0.9904659893651238,0.03063369414572371,-0.8811575101663329,1.5693262616495771,4.704785846727831e-09,0.6311275098874402
0.990465798149643,0.0305036214454825,-0.8831303165207366,1.5678991658955244,1.2381145871975344e-09,0.6306100649184497
0.990465421354604,0.030373549150442776,-0.8851157022995971,1.5664804726925867,8.359027396098865e-09,0.630093241381626
0.9904648600280676,0.030243477520853847,-0.8871138016956195,1.565068619118378,8.588599622367852e-09,0.6295770444026245
0.9904641150129324,0.0301134068136833,-0.889124752897255,1.5636635636811491,2.8830659783082663e-09,0.6290614966412424
